valsi	lojban	english	type_discrepancy
cuxna	la alis pu cuxna tu'a le blanu le taxfu	Alice chose the blue dress out of all.	
cuxna	su'o da zo'u mi pensi cuxna fi le'i nu mi citka da	I'm thinking about what to eat.	
dacru	pa junla ca cpana le se dacru be le barda	A clock stands on a chest of big drawers.	
dacti	tu noi dacti cu mo	What is that object over there?	
dadjo	le mi'u tcaci cu dadjo	The tradition is Taoist.	
dakfu	ti dakfu le nanba	This is a knife for cutting bread.	
dakli	mi ba bevri pa dakli be le tamca le nenri	I will take a bag of tomatoes inside.	
damba	mi pu damba le mensi be mi le du'u ma kau klama ka'ai lei rirni	I fought with my sister of who would go with parents.	
damri	le mi'u nakni pu zgipli pa damri be le xance	He was playing a hand struck drum.	
dandu	le mi'u smani pu dandu le galtu jimca le rebla	The monkey was hanging its tail from a high branch.	
danfu	le ka pilno le drata ckiku cu danfu le tadji be le ka jai gau karli fai le mi'u vorme	Using another key is the answer to the problem of opening the door.	
danlu	mi pu viska pa danlu bu'u le mi'u boske i le mi'u danlu cu jutsi ma	I saw an animal in the forest. What species does it belong to?	
danmo	le danmo be le noi ca'o jelca vau tricu co'a denmi	The smoke from the burning trees is becoming dense.	
danre	le brife cu danre le falnu	Wind puts pressure on the sail.	
dansu	e'u mi'o dansu le ca zgike	Let's dance to this music.	
danti	pa danti be le cecla mo'u muvdu le dinju	A bullet from a gun reached the house.	
daplu	fe'e ro roi le daplu lo remna cu xabju	People live all over the island.	
dapma	le cizra pu dapma le virnu le nu ri ba zi morsi	The monster cursed the brave person to die soon.	
dargu	da bisli vi'a le mi'u dargu	There is ice on the road.	
darlu	lei enge pu darlu le nu le mi'u dargu cu se stuzi le berti vau le nu le mi'u dinju cu se zbasu fi le rokci	Engineers argued for the road to be located to the north and against the house to be built of rock.	
darno	le mi'u muzga cu darno ti	The museum is far from here.	
darno	le jungo bangu cu darno le glico bangu le ka va'o ce'u ma kau tarmi le nu bacru	Chinese language is far from English in the manner of pronunciation.	
darsi	la edvard ca darsi le ka na cusku le jetnu la tom	Eduard dares not tell Tom the truth.	
darxi	mi pu darxi le xedja be ra le xance	I hit his jaw with hand.	
darxi	mi pu darxi la alis le zunle jamfu be mi le betfu	I kicked Alice with my left foot in the belly.	
daski	mi pu punji le xance be mi le daski be le kosta pe mi	I put my hand into the pocket of my coat.	
dasni	e'o do co'a dasni le cutci	Please put on your shoes.	
dasni	le mi'u nixli cu dasni le creka le skaci	The girl wears a shirt as a skirt.	
daspo	ra pu daspo le dinju	He destroyed the house.	
daspo	le fagri pu daspo ci me le dinju	The fire destroyed three of the buildings.	
dasri	le jai se dunda pu se bakfu fi le pa dasri	The gift was tied with a ribbon.	
datka	so'o datka ru'i limna le mi'u lalxu	Several ducks are swimming in the lake.	
datni	le du'u le mi'u nanmu cu zukte lo zekri kei cu datni le mi'u nanmu le nu mi zgana le se zukte be ce'u	That the man is a criminal is data about him gathered by monitoring his actions.	
datni	ai mi tavla do le datni be fi le cipra	I'm going to talk to you about experimental data.	
decti	le bitmu cu decti le ka ce'u mitre li xo kau vau le ka ce'u rotsu	The fence is 10 centimeters thick.	
degji	le degji be le pritu xance be mi cu cortu	The fingers of my right hand hurt.	
dejni	mi dejni le ka sidju vau do le ka se sidju do	I am obliged to help you in return for your help.	x2 and x4: definition expects x2 (Entity) debt, x4 (Entity or nu, Event); example uses "le ka sidju" and "le ka se sidju" (ka, Property) in both.
dejni	mi dejni fi le patfu be mi fo le ka snada	I owe my success to my father.	x4: definition expects (Entity or nu, Event) return; example uses "le ka snada" (ka, Property), not Entity or nu.
dekpu	ti voi botpi cu dekpu li pa le ka merko	This bottle is one American gallon in volume.	
dekto	le dinju cu dekto fi le ka ganra vau fe le ka mitre li xo kau le ka le lalxu cu farna ce'u	The house is 10 meters wide when measured towards the lake.	
dekto	mi ponse le dekto be le ka mlatu	I own 10 cats.	
dekto	mi ponse le dekto be le ka mlatu bei le ka kancu fo le pa me ce'u	I own 10 cats.	
delno	ti noi bombila cu delno li ji'i pa re no	This light bulb has a luminous intensity of around 120 candela.	
dembi	mi ca ca'o citka le stasu be le dembi	I am eating a bean stew.	
denci	le denci be mi cu cortu	I have a toothache.	
denmi	le karce flu'ente cu denmi le ka se pagbu le xo kau karce bu'u le klaji	The car traffic is intense in the streets.	
denpa	ko ze'i denpa	Wait a bit. Just a moment!	
denpa	xu do pu denpa	Did you wait?	
denpa	mi denpa le nu le patfu cu volta vau le ka kelci vau le ka cliva	I am waiting for my father to arrive playing before leaving.	
dertu	pu ze'a ku le mi'u karce cu muvdu bu'u le dertu	For a while, the car moved on the soil.	
derxi	mi pu cupra pa derxi be le mudri	I chopped a pile of wood.	
desku	ra pu desku le ka terpa	She was shaking with fear.	x2: definition expects (nu, Event or Entity) force; example uses "le ka terpa" (ka, Property), not nu or Entity.
detri	li ly pa dy pa ze ny re no pa xa detri le nu mi co'a tadni la lojban vau la nipon. la gregoris.	January 17, 2016 (Japanese timezone, Gregorian calendar) is the date when I started studying Lojban.	
detri	puku vi ku ca le se detri be li nanca bu 1995 masti bu 2 djedi bu 12 co'a snuti	On February 12, 1995, an accident happened here.	
dicra	le sance pu dicra le nu mi sipna vau le ka cladu	The sound woke me up since it was loud.	
diklo	le ca carvi cu diklo le stuna le bu'u tcadu	Within the borders of this city, the rain is in the south.	
dikni	mi dikni le ka lumci le kumfa pe mi vau le jeftu	I am regular in cleaning my room every week.	
dilcu	li re dilcu li pa ci li mu li ci	2 is the quotient of 13 divided by 5 with the remainder 3.	
dilnu	le mi'u cmana cu cupra le dilnu be le danmo	The mountain produces clouds of smoke.	
dimna	le ka xabju ti cu dimna mi	To live here is my fate.	
dinju	ti dinju le nu lumci	This is a bathhouse.	
dinko	mi pu lasna le mi'u pixra le mi'u bitmu pa dinko se pi'o pa mruli	I nailed the picture to the wall using a hammer.	
dinko	ti dinko le ka lasna le cutci le xirma ce'u	This is a nail for fastening horseshoes.	
dirba	do pu zvati ma doi le dirba	Where have you been, dear?	
dirba	le nu jmive cu dirba ro da	Life is dear to everybody.	
dirce	le mi'u jinto cu dirce le djacu	The spring of fluid emits water.	
dirgo	sa'u ti dirgo le grasu le djacu	It's just a drop of oil in water.	
ditcu	ma ditcu le nu do limna le mi'u rirxe	How long have you been swimming in the river?	
dizlo	le gerku cu dizlo mi le mlatu poi cpare le tricu	To me the dog stands low compared to the cat climbing the tree.	
dizlo	mi co'i farlu le dizlo korbi be le bitmu	I fell down to the foot of the fence.	
djacu	le mi'u nakni pu pinxe le djacu pa kabri	He drank some water from a cup.	
djedi	mi volta ba zi le djedi be li pa no	I will return in 10 days.	
djica	.i mi djica le nu mi cusku le xajmi vau le nu do cisma	I want to tell something funny to make you smile.	
djica	.i mi djica tu'a le plise	I want the apples.	
djica	mi djica le nu do smadi	I want you to guess.	
djine	ti solji djine	This is a golden ring.	
djuno	.i mi djuno le du'u mi zasti vau fo le du'u mi pensi	I know that I exist since I think.	
djuno	.i mi djuno so'i da la .lojban.	I know a lot about Lojban.	
djuno	mi djuno mo'a da le cmaci	I know too little about math.	
donri	ra stali le zdani ca le donri be le prulamdei bei vo'e	He stayed at home in the daytime.	
draci	pa pendo be mi cu finti pa draci be le nabmi pe le te seksi	My friend is the author of a drama about the problem of sexes.	
drani	do drani le ka pilno ma kau noi valsi	You are correct in what words you use.	
drata	lo drata be mi ka'e sidju	Someone else but me can help.	
drata	i ru'i ku bu'u le panka le'i re prenu cu simxu le ka prami e le ka drata le ka makau stizu gi'e se zutse ce'u	The two people loving each other are sitting on different benches in the park.	
drudi	le drudi be le mi'u dinju cu ei se cikre	The roof of the building needs fixing.	
dugri	li ci dugri li pa no no no li pa no	3 is the logarithm of 1000 to base 10.	
dukti	la alis la kevin pu dukti le ka catlu ma kau	Alice and Kevin looked in the opposite directions.	
dunda	mi pu dunda tu'a pa plise do	I gave you an apple.	
dunda	le nobli turni pu dunda fi le selfu fe lo ka ponse le tumla	The noble ruler granted the servant legal ownership of some land.	
dunja	ra na ru'e dunja	He almost froze.	
dunku	mi pu dunku le ka kansa no da	I was distressed at being alone.	
dunku	xu do dunku le nu le mensi be do cu bilma	Are you distressed at your sister being ill?	
dunli	mi dunli le mensi be mi le ka clani i ku'i mi na mintu le mi'u mensi	I am as long as my sister is. But I'm not her.	
dunli	mi dunli do le ka jinvi ma kau le se zukte be le mi'u prenu	I am in concord with you in what we think about his actions.	
dunra	ca le dunra be le re no no mu moi bei la australiias mi pu zvati ti	During Australian winter of year 2005 I was here.	
dzena	do dzena mi le ka ce'u ce'u lidne le ka jbena ca ma kau	You are my ancestor since you were born before me.	
dzipo	au mi vitke le dzipo tumla	I want to visit the Antarctica.	
facki	mi facki le jitfa le pu se cusku be la alis	I discovered false statements in what Alice said.	x2: definition expects (du'u, Proposition) fact discovered; example uses "le jitfa" (Entity: falsehoods/lies), not a proposition.
facki	mi facki le du'u le mi'u tcadu cu jibni	I found that the city is near.	
facki	mi pu facki le du'u le mi'u lisri cu xajmi	I found the story funny.	
fadni	fi le'i pendo be mi cu fadni fa la kevin le ka cusku le simsa noi srana mi	It's common for my friends and Kevin in particular to say such things about me.	
fagri	le fagri be le mi'u boske bei le brife co'a carmi	The fire in the forest burning in the wind becomes intense.	
fagri	le mi'u mudri cu se fagri	The wood is burning.	
falnu	ti noi bloti cu te falnu	This is a sailboat.	
falnu	ti noi molki cu te falnu le djacu pa xislu	This mill operates on a water wheel.	
famti	do famti mi le ka ce'u mensi le mamta be ce'u	You are my aunt since you are a sister of my mother.	
fancu	li fy pe li xy cu fancu li ma'u li ma'u no me'o vei xy su'i pa ve'o pi'i vei xy vu'u pa ve'o	
fancu	le nu se la'u li xo kau mi'o snada cu te fancu le nu se la'u li xo kau mi'o troci	Our success depends on how hard we try.	
fancu	le jdima be le broda cu te fancu le nu le mi'u broda tai ma kau cu se sabji jo'u le nu le mi'u broda cu se cpedu xo kau da	The price of a good is a function of its supply and demand.	
fancu	le nu mi jimpe la'e ti na te fancu tu'a do	I don't depend on you to understand this.	
fancu	li fy pe li xy cu fancu li ma'u li ma'u no me'o vei xy su'i pa ve'o pi'i vei xy vu'u pa ve'o	f(x) = (x + 1) (x − 1), where x>1, f(x)>0.	
fange	ra fange mi le ka zukte ma kau	He is alien to me in what he does.	
fanmo	do te mukti le ka mo ca le fanmo le ca jeftu	What are you going to do on weekend?	
fanmo	le fanmo be le mi'u te jivna ba cinri ba'a	I expect the final part of the competition interesting.	
fanri	ti fanri le nanba le gurni	This is a mill producing bread from grain.	
fanta	le bumru pu fanta le nu mi'a viska da	Fog prevented us from seeing anything.	
fanva	.i mi pu fanva lu coi ui li'u le glico le lojbo zoi gy.yay, hello!.gy.	I translated {coi ui} to English from Lojban as "Yay, hello!"	
fanva	xu lu coi do li'u drani xe fanva zoi gy.Hello, you!.gy.	Is {coi do} a correct translation of "Hello, you!"?	
fanza	le nu le verba cu klaku cu fanza le mamta be le mi'u verba	Baby crying annoys his mother.	
fanza	do fanza mi	You annoy me.	
fapro	mi pu fliba le ka fapro le nu do cisma	I couldn't resist your smile.	
fapro	xu do fapro fi le ka sidju mi	Do you refuse to help me?	x2: definition expects (Entity or Group<Entity>) opponent; example uses "le ka sidju mi" (ka, Property / what is opposed), not Entity.
farlu	mi pu farlu fi pa skalera fe le dertu	I fell down from the stairs onto the ground.	
farlu	la alis pu jai gau farlu fai le mi'u dakli le mi'u jubme	Alice dropped the bag on the table.	
farna	le cmana cu farna le se klama be la alis vau mi	From my viewpoint, the mountains were the direction at which Alice was coming.	
farvi	le'e nanba cu farvi le bredi le te zbasu le nu co'a mixre le purmo jo'u le matne jo'u le sovda jo'u le sakta vau jo'u ba bo le nu glare jo'u ba bo le nu satre vo'a le matne	One makes a standard cake from raw materials by mixing flour, butter, eggs and sugar together, then heating, then greasing the cake with butter, and after that, it is ready.	
fasnu	le cizra pu va fasnu	There were strange things happening there.	
fasnu	le ei ba fasnu ba fasnu	Whatever shall be will be.	
fatci	mi se la'u li me'i ro birti le du'u ro se djuno be mi bei le mi'u munje cu fatci	I'm not completely sure that all that I know about the world are actual facts.	
fatri	gau mi fatri fa le titla le verba le pa mei	I handed out candies to children one candy to each of them.	
febvi	le mi'u djacu za'o febvi	The water is already boiling.	
fegli	le mi'u djacu cu fegli le ka se panci ma kau	The water has an ugly smell.	
femti	lo'e pa protoni cu femti le ka mitre li ji'i pa pi xa vau le ka clani	A proton has a size of about 1.6 femtometres.	
fendi	mi fendi le mi'u najnimre ci spisa	I divide the orange into three pieces.	
fengu	ra pu fengu mi le ka pu na klama	She was angry with me for not coming.	
fenki	le nu jmive cu fenki	The event of living is crazy.	
fenki	le nu fengu cu fenki	The event of anger is crazy / anger is (an instance of) craziness.	
fenra	da fenra le mi'u bitmu	There is a crack in the wall.	
fenso	le mi'u nixli pu fenso pa bukpu pa jesni pa cilta	The girl sewed pieces of cloth using a needle and a thread.	
fepni	le mi'u penbi cu fepni li mu no le ropno	The pen costs 50 eurocents.	
fepri	ro da pu sanga se rai le ka pilno le fepri be vo'a	Everybody sang at the top of their lungs.	
ferti	le vi tumla cu ferti le ka te crepu le vanjba	This land is fertile for reaping grapes.	
ferti	ti noi fetsi cu ferti le ka se tarbi	This female is fertile for conception.	
festi	ko bevri le festi be le grute le klaji	Take the fruit scraps to the street.	
fetsi	ti fetsi le finpe le ka se ganti ma kau	This fish is female in having a certain kind of gonads.	
figre	mi nelci ti noi crino figre	I like these green figs.	
finpe	mi se pluka le ka kalte le finpe	I like fishing.	
finti	.i mi pu finti le lisri le ka zdile le verba vau le se lifri be mi	I created a story out of my real experience to amuse the child.	
firca	ko sisti le ka firca le mensi be mi le ka benji le jai se dunda ri	Stop flirting with my sister by sending her gifts.	
flalu	le flalu be le ka na ralte le gerku bei ro se zdani cu cizra	The law specifying that no citizen should keep a dog is crazy.	
flani	le sance be le mi'u flani cu jai pluka	The flute has a pleasant sound.	
flecu	ti flecu le condi pa lalxu pa galtu krasi pe bu'u lei cmana	This is a current in a deep bed running towards a lake from high springheads in the mountains.	
fliba	mi za'u re'u fliba le mi'u cipra	I failed the test again.	
fliba	le mi'u se troci pu se fliba	The attempt failed.	
fliba	mi fliba le ka zvafa'i le mi'u penbi	I can't find the pen.	
flira	u'e melbi flira ra	What a nice face she has!	
flira	ra pu minde mi le nu mi lumci le flira be mi	He told me to wash my face.	
foldi	mi vreta bu'u pa foldi be le xrula	I'm lying on a flower field.	
fonmo	le mi'u glare pu ru'i cupra le fonmo be le djacu bei le gapci	The heat was producing bubbles of gas in the water.	
fonxa	ti fonxa le skori e nai le te cradi	This is a landline phone, not a radiophone.	
forca	ti forca le nu jukpa vau le ci mei le mudri	This is a wooden fork for cooking with three tines.	
fraso	xu do tavla fo le fraso	Do you speak French?	
fraxu	ko fraxu mi le ka jai lerci	Forgive me for being late.	
frica	mi frica do le ka nelci ma kau	You and I differ from each other in what we like.	
friko	au mi viska le friko xanto	I want to see African elephants.	
frili	frili fa lo ka sazri ti voi karce	This car is easy to handle.	
frili	na pu frili mi fa le ka zvafa'i lei ckiku	It wasn't easy for me to find the keys.	
frinu	li re frinu li bi li vo	2 = 8 / 2.	
friti	mi pu friti fi le mi'u mamta fe le nu mi sidju le mi'u verba le ka klama le cnita	I offered the mother to help the child to go down.	
frumu	le mi'u nakni pu frumu ca le nu ri catlu mi	He frowned looking at me.	
fukpi	mi ralte pa fukpi be ti noi pixra bei pa bukpu pe le jubme bei le nu prina	I have a printed copy of this picture made as a tablecloth.	
fulta	le morsi pezli xu fulta le sefta be le mi'u djacu	Dead leaves float on the surface of the water.	
funca	mi se funca le ka se jundi ro da	I'm lucky in that everybody listens to me.	
fusra	pa perli mo'u fusra	There is one pear and it is rotten.	
fuzme	la alis pu jai se facki fai le du'u ri na fuzme le zekri vau le kamni	Alice was found not responsible for the crime by the committee.	
gacri	le snime cu gacri le mi'u dertu	Snow covers the ground.	
gadri	zo le mi'u gadri lu nu dansu li'u	{le} is a gadri.	
galfi	le mi'u mamta pu galfi le mi'u rectu jo'u le mi'u nanba le pluka snuji	Mother turned the meat and the bread into lovely sandwiches.	
galfi	ju'o le mi'u ninmu ba galfi la kevin le speni be vo'a	I'm sure she will make Kevin her spouse.	
galfi	le lenku brife pu galfi le mi'u pezli le bunre	The cold wind turned the leaves brown.	x1: definition expects (nu, Event) that modifies; example uses "le lenku brife" (Entity: wind) as subject.
galtu	le cipni poi ca'o vofli cu galtu mi lei cmana	To me the flying bird is high above the mountains.	
galxe	da'i le djacu cu xamgu le galxe be do	Water would be fine for your throat.	
ganlo	le mi'u vorme cu ganlo le nenri le fange	The door is closed not letting the strangers in.	
ganra	le mi'u tricu cu ganra le ka se midju	The tree is thick in the middle.	
ganse	mi ganse le nu ti cpina vau le ka smaka ri	I sense it being irritating by tasting it.	
ganti	le xanto cu se ganti le barda le nakni	Male elephants have large testicles.	
ganxo	le mi'u mikce pu kucli tu'a le nabmi pe le ganxo be le mi'u nanmu	The doctor was curious about the problem with the anus of the man.	
ganzu	le mi'u turni pu ganzu le ruble prenu le vlipa jenmi le ka bapli le nu le mi'u jenmi cu zukte le te minde	He turned weak people into a powerful army by making them execute orders.	
gapci	ti noi karce cu se livla le gapci	This car is powered by gas.	
gapru	le mi'u solri ca gapru mi	The Sun is now above me.	
garna	ti garna le xance	This is a handrail.	
gasnu	do pu gasnu le nu mi klaku	You made me cry.	
gasta	le balre be ti noi dakfu cu gasta	The blade of this knife is made of steel.	
genja	ti noi spati cu se genja le clani	This plant has long roots.	
genxu	mi pu kavbu pa finpe pa genxu	I caught a fish with a hook.	
gerku	mi jai gau citka fai le gerku pe mi re roi ro djedi	I feed my dog twice a day.	
gerna	le du'u lo'e gadri cu lidne lo'e sinxa be lo se bridi cu gerna la .lojban. lo'e su'o sumti	That gadri precede selbri is the grammar of Lojban for some sumti.	
gerna	.i zoi ry.привет.ry. te gerna le rusko	"привет" is a Russian text.	
gidva	ra gidva mi le ka tadni la lojban	He guides me in studying Lojban.	x3: definition expects (nu, Event); example uses "le ka tadni la lojban" (ka, Property), not nu.
gigdo	ti voi tcana cu benji ca ro snidu pa gigdo be lo ka bitni bei lo ka vreji	This network station sends 1 gigabit of data per second.	
gigdo	le kagni cu ponse le gigdo be le ka rupnu bei le ka ba zi pilno	The company owns a billion dollars that it will soon use.	
ginka	mi'ai pu zbasu pa ginka pe bu'u le mi'u lalxu	We made camp near the lake.	
ginka	mi'ai pu se ginka ze'a le jeftu	We camped there for a week.	
girzu	mi cmima lo girzu be le ka tadni la lojban	I belong to a group of those who learn Lojban.	
gismu	zo zgana gismu	{zgana} is a gismu (root verb).	
glare	le mi'u tcati cu glare	The tea is hot.	
gleki	mi gleki le nu do jinga	I am happy that you won.	
gletu	ko na gletu ra mu'i le nu do djica ku po'o	Don't have sex with her just because you want to.	
glico	mi traduki le vi uenzi le glico	I'm translating this text to English.	
gluta	le mi'u gluta pu jai gau stodi fai le xance be ra le ka mligla	The gloves kept her hands warm.	
gocti	lo'e pa protoni cu gocti le ka grake li ji'i pa pi ze vau le ka tilju	Proton is approximately 1.7 Yoctogram in mass.	
gotro	le terdi cu gotro le ka grake li ji'i pa ki'o vau le ka tilju	The mass of the Earth is approximately 6000 Yottagram.	
gradu	ti voi foldi doi la xunre mapku cu gradu le ka clani vau le ka do klama le zdani be le mamta be mi fo le se cmima be ce'u	This field, oh Red Hood, is a unit of length on your way to my mother's home.	x2: definition expects scale (si'o/v); example uses "le ka clani" (ka, Property). x3 is ka (OK).
grake	lei plise cu grake li pa ki'o	The apples are 1 kilogram in weight.	
grana	ra pu jgari pa grana	He was holding a rod.	
grasu	ko punji le so'o grasu le mi'u xislu	Put some grease on the wheel.	
grasu	ri se savru	It squeaks.	
greku	le greku be le mi'u bitmu cu mudri	The frame of the fence is wooden.	
grusi	ca le nicte ro mlatu cu grusi	At night, all cats are grey.	
grute	ti noi grute be le plise cu crino	This apple fruit is green.	
gubni	le mi'u panka cu gubni le prenu	The park is public and open to people.	
gugde	ti gugde le cilce prenu le na'e barda	This is a country of wild people covering not a big territory.	
gugde	.i ti te gugde mi'a	This is our land.	
gumri	ti noi gumri cu vindu le remna	This mushroom is poisonous to humans.	
gundi	le mi'u gundi be le taxfu be le ka macnu se cupra cu carmi le ka farvi	The industry of producing handmade dresses is intensely developing.	
gundi	mi se cuntu le gundi be le zgike	I am involved in music industry.	
gunka	mi gunka le ka tadni la lojban vau le nu mi sutra tavla fo la lojban	I'm working on learning Lojban in order to quickly speak in it.	
gunma	pa gunma be le prenu ca'o sruri le mi'u dinju	The crowd of people is surrounding the building.	
gunro	ba bo le mi'u verba co'a gunro pa salpo mo'i ni'a fi le cutne be vo'a	And then the child started rolling down the slope rotating around his chest.	
gunro	mi ca'o gunro le vacri	I am spinning in the air.	
gunse	ju'i do ci gunse ca'o limna le mi'u lalxu	Hey, look, three geese are swimming in the lake.	
gunta	lei ratcu ca'o gunta le mi'u dinju le ka cpacu le gurni	Rats are attacking the building to get the grain.	
gurni	mi vi ku ralte le gurni be le zumri	I keep here maize grain.	
guska	mi pu guska le skapi le cidni be mi	I scraped the skin off my knees.	
gusni	le fagri pu te gusni le mi'u kevna le xunre	The fire illuminated the cave with red light.	
gusta	banli gusta	Nice restaurant.	
gusta	bu'u le mi'u xotli da gusta le kukte le vitke be le mi'u xotli	In the hotel there is a restaurant serving tasty food to guests of the hotel.	
gutci	le jubme cu clani lo ka gutci li re le ka brito	The table is two British feet in length.	
gutra	le gutra be le mamta be mi pu se vimcu	My mother had uterus removed.	
jabre	do jabre le ka gunka vau le ka ru'i tavla	You slow your own work down by constantly talking.	
jadni	le tarci cu jadni le mi'u tsani	Stars decorate the sky.	
jakne	le mi'u jakne ba klama fi le mi'u terdi fe le mi'u lunra	The rocket will go from the Earth to the Moon.	
jalge	le mi'u snuti pu se jalge le nu le mi'u nakni pu na jundi	The accident happened because he hadn't been careful.	
jalge	le cizra pu jalge	There ensued something strange.	
jalna	ta'i ma jukpa le rismi se pi'o nai le jalna	How to cook rice without starch?	
jamfu	le jamfu be mi cu lenku	My feet are cold.	
jamna	la alis jo'u la meilis pu jamna zu'ai le du'u jdice le du'u ma kau traji le ka melbi vau le me vo'a	Alice and Mei Lee were at war with each other in deciding who was prettier among them.	
janbe	mi pu tirna le janbe be le cladu	I heard a loud bell ringing.	
janco	le anka cu janco le tuple jo'u le cutne	Ankle is a joint between chest and leg.	
janli	bu'u le klaji mi co'i janli le pa pendo be mi	I bumped into a friend of mine in the street.	
jansu	mi jansu le gugde pe mi le ka du le prenu poi jdice vau fau le nu casnu le nu lebna le ctile	I represented my country in discussions on getting oil as a person that takes decisions.	
janta	ti jatna le grute le kagni pe mi le te vecnu pe le drata gugde	This is a bill for the fruits issued to my company by customers from another country.	
jarbu	mi se zdani le jarbu be la london	I live in the suburbs of London.	
jarco	fi mi'a fa la alis cu jarco le ka stati	To us Alice appeared to be smart.	
jarco	la kevin cu jarco le ka gidva	Kevin acts as a guide.	
jarki	le mi'u dargu cu jarki le ka se pagbu ti	The road is narrow here.	
jaspu	e'o le jaspu be do	Your passport, please.	
jaspu	ti jaspu mi le jecta le ka klama la nipon	This is my passport issued by the state allowing me to go to Japan.	
jatna	le mi'u jatna be le kamni pe mi'o cu jinvi ma	What does the commander of our committee think?	
javni	mi te javni le ka co'u tavla gi'e co'a jundi	I should stop talking and start listening.	x2: definition expects (nu, Event) prescribed; example uses "le ka co'u tavla gi'e co'a jundi" (ka, Property), not nu.
javni	e'u zukte le javni be le ka di'i retsku	I suggest you follow the rule or regularly asking questions.	x2: definition expects (nu, Event) governed by rule; example uses "le ka di'i retsku" (ka, Property), not nu.
javni	ma javni le nu pilno	What are the terms of usage?	
jbama	le jbama be le djacu cu se pilno mi'a le ka jai gau sisti le nu fagri	Water bombs are used by us to stop fire.	
jbari	mi pu citka so'o jbari be le fragari	I ate several strawberries.	
jbena	le mi'u speni be mi mo'u se jbena pa tixnu	My wife gave birth to a daughter.	
jbera	e'a pei mi jbera le vi penbi do	May I borrow this pen from you?	
jbera	mi ba te jbera pa karce do	I will lend you a car.	
jbini	la alis cu jbini li re no jo'u li ci no le ka jai nanca	Alice is between 20 and 30 years old.	
jdari	le cilmo mudri cu jdari le ka jelca	Wet wood is resistant to burning.	
jdice	mi mo'u jdice le du'u sarcu fa le nu mi'a stali	I decided that we need to stay.	
jdice	xu do jdice le du'u sarcu fa le nu do cliva	Have you decided that it is necessary for you to leave?	
jdice	mi'a zanru le se jdice be le mi'u kamni	We welcome the decision of the committee.	
jdika	le prenu pu jdika le ka gunma vau le ci mei	People decreased in number by three persons.	
jdima	ma jdima ti fo do	What is your price for this?	
jdima	le rupnu be li ci cu jdima le ka sazri le se kelci karce vau le verba le ponse be le karce	Three dollars is the price of riding a toy car for children set by the owner of the car.	
jdini	xu ti du le pe do jdini	Is this your money?	
jdini	le jdini be lei merko turni ba se pilno fi le nu sidju le pindi	Money issued by the American government will be used to help the poor.	
jduli	le jduli be le vanjba se rai se nelci mi	I like grape jelly best.	
jecta	le nu se sazri za'u pa turni cu jecta le vi tutra	Being controlled by more than one government is the political system of this area.	x1: definition expects Entity (polity); example uses "le nu se sazri za'u pa turni" (nu, Event), not Entity.
jeftu	mi'o ba volta ti za le jeftu be li re	We'll return here in two weeks.	
jegvo	xu do se lijda le jegvo	Do you belong to an Abrahamic religion?	
jelca	le mi'u mudri cu jelca	The wood is burning.	
jemna	le nixli pu zvafa'i le rokci noi ba facki le du'u ke'a jemna	A girl found a stone that later was turned out to be a gem.	
jenca	pu jenca le fetsi fa le nu vo'a ka'e mo'u klama lo drata gugde	It shocked her that she could get to another country.	
jendu	le mi'u jendu be le re xislu cu mudri	The axle of the two wheels is wooden.	
jenmi	ti jenmi le vi gugde le ka vimcu be le fagri	This is an army of firefighters of this country.	
jenmi	le mi'u re ki'o sonci cu jenmi le mi'u pagbu be le mi'u gugde	The two thousand soldiers is an army of this part of the country.	
jerna	do jerna le ka se sinma vau le ka carmi gunka	You are worth being respected for your hard work.	
jerna	mi pu jerna le rupnu be li pa no no le ka lumci lei palta	I earned 100 dollars for washing the dishes.	
jersi	lei gerku cu jersi pa lorxu	Dogs are in pursuit of a fox.	
jersi	e'o do jersi mi	Please, follow me.	
jesni	gau mi tunta fa le tamji be mi pa jesni	I pricked my thumb with a needle.	
jetce	le nazbi be mi cu te jetce	I have a runny nose.	
jetce	le mi'u cmana mo'u te jetce le glare le sutra	The mountain erupted jetting hot matter.	
jetnu	pa da poi prije prenu zo'u le du'u le remna cu xendo cu jetnu le se jinvi be da	According to one wise person, it's true that all humans are kind.	
jetnu	u'a la'e di'u se jetnu le du'u mi drani	Aha, that proves that I am right.	
jgalu	le mi'u cipni cu se jgalu le kinli	The bird has sharp claws.	
jganu	ti jganu me'o a bu le mitre be li pi mu gi'e stero be li re	This is an angle from vertex A having the lateral of 0.5 meters and subtending two steradians.	
jgari	le mi'u nakni mo'u co'a jgari le stedu be la alis se pi'o le xance be le mi'u nakni	He grasped Alice's head with his hand.	
jgena	ti jgena so'i blanu skori jo'u pa xunre skori	This is a knot of many blue ropes and one red rope.	
jgina	xo da jgina le remna le ka le skapi be ce'u cu skari ma kau	How many genes in humans determine the color of skin?	
jgira	mi jgira le nu do co'a kakne le ka zgipli le pipno	I am proud that you are now able to play the piano.	
jgita	xu do kakne le ka zgipli le jgita be lei ze mei	Can you play a 7-stringed guitar?	
jibni	zo xagri zo tabra cu jibni le ka se smuni	The terms "pipe instrument" and "horn" are close in their meanings.	
jibri	mi se jibri le ka vecnu le grute	I have a job as a fruit seller.	
jibri	xu do se jibri le ka sampla	Do you have the job of a programmer?	
jicla	ko jicla le mi'u tcati	Stir the tea.	
