glico	lojbo	spano
In the "eleventh volume" of which I speak there are allusions to subsequent and preceding volumes.	.i le se slecku be le pa ze moi cu .anci le se slecku be le lidne .e le se lidne	En el "onceno tomo" de que hablo hay alusiones a tomos ulteriores y precedentes.
Néstor Ibarra, in a now classic article in the N.R.F., has denied that these companion volumes exist; Ezequiel Martínez Estrada and Drieu La Rochelle have refuted, perhaps victoriously, that doubt.	.i la'o sy.Néstor Ibarra.sy. cu cusku fo lo ka te notci fi da ne nyryfy zi'e noi nau klasiko .i go'i le se du'u jitfa fa le du'u le za'u kansa slecku cu zasti .i la'o sy.Ezequiel Martínez Estrada.sy. e la'o sy.Drieu La Rochelle.sy. co'i darlu le ju'o cu'i jetnu le di'u se xusra	Néstor Ibarra, en un artículo ya clásico de la N. R. F., ha negado que existen esos aláteres; Ezequiel Martínez Estrada y Drieu La Rochelle han refutado, quizá victoriosamente, esa duda.
The fact is that until now the most diligent inquiries have been fruitless.	.i vajni ku'i fa lo nu ro pu nu sisku ca'o jalge no prali	El hecho es que hasta ahora las pesquisas más diligentes han sido estériles.
In vain we have diarranged the libraries of the two Americas and of Europe.	.i ja'e no prali mi'a jai gau kalsa fai le za'u le sorcu be lo cukta be'o noi me le stuzi be ke'a fa le bemro e le ketco e le ropno	En vano hemos desordenado las bibliotecas de las dos Américas y de Europa.
Alfonso Reyes, fed up with these inferior fatigues of a police nature, proposes that we all undertake the work of reconstructing the many and massive volumes that are missing: ex ungue leonem.	.i la'o sy.Alfonso Reyes.sy. ja'e le nu ri tatpi le nu tai sisku cu stidi fi mi'a fe lo ka za'u re'u finti le se slecku be le so'i mei noi nu'o se penmi .i va'i zbasu le cinfo le jgalu be ri	Alfonso Reyes, harto de esas fatigas subalternas de índole policial, propone que entre todos acometamos la obra de reconstruir los muchos y macizos tomos que faltan: ex ungue leonem.
He calculates, between truth and mockery, that a generation of Tlönists can suffice.	.i ra sruma tai lo nu su'o va'e xalbo gi'e su'o va'e ckasu vau le du'u lo nu pa da zo'u rorci so'i tlon zei skepre poi se cecmu da cu banzu	Calcula, entre veras y burlas, que una generación de tlönistas puede bastar.
That risky computation brings us back to the fundamental problem: Who invented Tlön? The plurality is inevitable, because the hypothesis of a single inventor - of an infinite Leibniz working in darkness and modesty - has been unanimously discarded.	.i le di'u se kanji be fo lo se darsi cu bapli lo nu ma'a za'ure'u kucli tu'a le jicmu nabmi goi la'e "lu ma cecmu gi'e finti la tlon li'u" .i le nu lei finti cu so'i mei na ka'e se ribvi .i ki'u bo le sidbo be le du'u finti fa pa da noi du la leibnits pe'a poi sivni je cumla gunka cu (to'e se zanru ro ma'a	Ese arriesgado cómputo nos retrae al problema fundamental: ¿Quiénes inventaron a Tlön? El plural es inevitable, porque la hipótesis de un solo inventor -de un infinito Leibniz obrando en la tiniebla y en la modestia- ha sido descartada unánimemente.
It is conjectured that this brave new world is the work of a secret society of astronomers, biologists, engineers, metaphysicians, poets, chemists, algebraists, moralists, painters, geometers...	.i smadi le du'u ti voi se darsi je cnino munje cu jai te gunka fi le sivni cecmu be lo kesytadni e lo mivytadni e lo enge e lo jetytadni e lo te pemci e lo xumtadni e lo mekytadni e lo madytadni e lo te pixra e lo taircmacytadni e lo drata	Se conjetura que este brave new worldes obra de una sociedad secreta de astrónomos, de biólogos, de ingenieros, de metafísicos, de poetas, de químicos, de algebristas, de moralistas, de pintores, de geómetras...
directed by an obscure man of genius.	.i je go'i le du'u le se cecmu cu se bende pa sivni stati	dirigidos por un oscuro hombre de genio.
There are plenty of individuals who master these diverse disciplines, but not those capable of invention and even less those capable of subordinating invention to a rigorous systematic plan.	.i bu'u le munje ku so'i mei fa loi prenu poi certu tu'a la'e poi saske vau di'u ije so'u mei fa loi tende be lo ka finti .i je me'i xo'e mei fa loi kakne be lo ka finti lo te platu	Abundan individuos que dominan esas disciplinas diversas, pero no los capaces de invención y menos los capaces de subordinar la invención a un riguroso plan sistemático.
That plan is so vast that each writer's contribution is infinitesimal.	.i le platu cu tai barda .i ja'e bo ro da poi me le finti zo'u le ni vajni fa le se finti be da cu du li ji'i no	Ese plan es tan vasto que la contribución de cada escritor es infinitesimal.
At first Tlön was believed to be mere chaos, an irresponsible license of the imagination; now it is known that it is a cosmos and the intimate laws that govern it have been formulated, at least provisionally.	.i ca le cfari la tlon cu te jinvi fe le du'u ri kalsa gi'e na'e se fuzme te pikta xanri .i ku'i ka'u bu'o nau ku le go'i cu te jinvi fe le du'u munje fi le se skicu be fo lo rauva'e	Al principio se creyó que Tlön era un mero caos, una irresponsable licencia de la imaginación; ahora se sabe que es un cosmos y las íntimas leyes que lo rigen han sido formuladas, siquiera en modo provisional.
Let it suffice for me to recall that the apparent contradictions of the Eleventh Volume are the fundamental stone of the proof that the others exist: so lucid and so just is the order that has been observed in it.	.i .ei be'u cu'i mi za'u re'u xusra le du'u le sinxa be lo natfe be'o pe le se slecku be le pa pa moi cu jicmu je nibli lo nu lo drata slecku cu zasti .i le se go'i cu jetnu lo du'u tai sampu gi'e tai prane vau fa le stura pe le se slecku zi'e poi ka'e se zgana	Básteme recordar que las contradicciones aparentes del Onceno Tomo son la piedra fundamental de la prueba de que existen los otros: tan lúcido y tan justo es el orden que se ha observado en él.
The popular magazines have divulged, with pardonable excess, the zoology and the topography of Tlön; I think that their transparent tigers and their towers of blood do not deserve, perhaps, the continuous attention of all men.	.i so'i da misno gi'e te fraxu cafne karni cu se pagbu su'o artigo be loi jmive pe la tlon ge'u e loi stuzi pe ri .i pe'i loi blaci tirxu pe la tlon ge'u e loi  vi'i ve'u dinju vasru be loi ciblu na ju'o cu'i jerna lo ka ranji se jundi loi prenu	Las revistas populares han divulgado, con perdonable exceso, la zoología y la topografía de Tlön; yo pienso que sus tigres transparentes y sus torres de sangre no merecen, tal vez, la continua atención de todos los hombres.
I dare to ask for a few minutes for your concept of the universe.	.i e'o mi zi le mentu be li so'u mo'u ciksi le sidbo be le munje	Yo me atrevo a pedir unos minutos para su concepto del universo.
Hume noted for all time that Berkeley's arguments did not admit of the slightest rebuttal and do not cause the slightest conviction.	.i la'o gy.Hume.gy. cusku fi ro jai balvi fe lo se du'u le se xusra be la'oi gy.Berkeley.gy. na ka'e natfe gi'e na ka'e su'o va'e lo ka se birti	Hume notó para siempre que los argumentos de Berkeley no admiten la menor réplica y no causan la menor convicción.
This opinion is completely true in its application to the earth; completely false in Tlön.	.i le se go'i noi se jinvi cu jetnu tu'a la ted gi'e ku'i jitfa tu'a la tlon	Ese dictamen es del todo verídico en su aplicación a la tierra; del todo falso en Tlön.
The nations of that planet are - congenitally - idealist.	.i lo'e se terdi be ra pu ze'e djuno fo lo po'o xanri	Las naciones de ese planeta son -congénitamente- idealistas.
Their language and the derivations of his language - religion, letters, metaphysics - presuppose idealism.	.i le bangu be le go'i fa le se krasi be le bangu be'oi noi lo lijda e lo lerfu e lo jetyske cu me ke'a cu se jicmu le si'o djuno fo lo xanri	Su lenguaje y las derivaciones de su lenguaje -la religión, las letras, la metafísica- presuponen el idealismo.
The world for them is not a contest of objects in space; it is a heterogeneous series of independent acts.	.i le munje be ga'a le go'i na du lo'i te jivna be fi lo dacti bu'u lo canlu gi'e ku'i du lo'i nu zukte poi vrici zi'e poi simxu lo ka na rinka	El mundo para ellos no es un concurso de objetos en el espacio; es una serie heterogénea de actos independientes.
It is successive, temporal, not spatial.	.i ri stura lo te porsi be lo ka balvi gi'a cabna kei e nai lo'i se canlu	Es sucesivo, temporal, no espacial.
There are no nouns in Tlön's conjectural Ursprache, from which the "current" languages ​​and dialects are derived: there are impersonal verbs, qualified by monosyllabic suffixes (or prefixes) of adverbial value.	.i le dzena be ro za'e ca bangu be bu'u la tlon na se gerna tu'a lo sumti valsi .i ku'i pilno lo lujvo poi brisni fi lo porsi be fi lo se cmima be no cmebasti zi'e poi se li'enrafsi be pa slaka gi'e se selyli'enrafsi be ri	No hay sustantivos en la conjetural Ursprache de Tlön, de la que proceden los idiomas "actuales" y los dialectos: hay verbos impersonales, calificados por sufijos (o prefijos) monosilábicos de valor adverbial.
For example: there is no word that corresponds to the word "moon", but there is a verb that would be in English would be "to moon" or "to moonate." "The moon arose over the river" is said "hlör u fang axaxaxas mlö" that is, in its order: "upward behind the lasting-flow mooned". (Xul Solar briefly translates it as: up after onflowingly moonated).	.i mu'a no da valsi lo ka lunra .i ku'i su'o da gismu lo ka ca'o lunra gi'a ca'a lunra .i "lu le lunra co'a galtu fi le rirxe" cu se fanva fu zoi .tlon.hlör u fang axaxaxas mlö.tlon. noi simsa fi tu'a le porsi fe "lu mo'i ga'u (to ti'a ru'i flecu toi) mluni li'u" (to la xul.solar. pu sutra fanva ra fu "lu fi'o galtu fi'o trixe fi'o flecu ca'o lunra toi)	Por ejemplo: no hay palabra que corresponda a la palabra luna, pero hay un verbo que sería en español lunecer o lunar. "Surgió la lunasobre el río" se dice "hlör u fang axaxaxas mlö" o sea en su orden: hacia arriba (upward) detrás duradero-fluir luneció. (Xul Solar traduce con brevedad: upa tras perfluyue lunó).
The above refers to the languages ​​of the southern hemisphere.	.i la'e di'u srana le za'u bangu be tu'a le snanu plinyxadba	Lo anterior se refiere a los idiomas del hemisferio austral.
In those of the northern hemisphere (of whose Ursprache there are very few data in the Eleventh Volume) the primordial unit is not the verb, but the monosyllabic adjective.	.i lo'e bangu be tu'a le berti plinyxadba be'o noi so'u da vreji fo le pa pa moi slecku cu se jicmu lo'e valsi be lo ka fasnu kei na .e lo'e valsi be lo ka se jinzi be'o poi  se pagbu pa slaka	En los del hemisferio boreal (de cuya Ursprache hay muy pocos datos en el Onceno Tomo) la célula primordial no es el verbo, sino el adjetivo monosilábico.
The noun is formed by accumulation of adjectives.	.i le'e za'e sumti cu se zbasu fe loi valsi be lo steci	El sustantivo se forma por acumulación de adjetivos.
"Moon" is not said: it is said "air-light over dark-round" or "orange-dim-of-the-sky" or some other aggregation.	.i lu'i le lunra na se cusku .i cusku "lu se kai vacri gusni ne'i le se kai manku cukla li'u" a "lu narju kandi co tsani li'u" a su'o drata gunma	No se dice luna: se dice aéreo-claro sobre oscuro-redondo o anaranjado-tenue-del cielo o cualquier otra agregación.
In the case selected, the mass of adjectives corresponds to a real object; but this is purely fortuitous.	.i "lu bu zo'u le tanru cu sinxa su'o zasti dacti .i ku'i le nu go'i cu cunso	En el caso elegido la masa de adjetivos corresponde a un objeto real; el hecho es puramente fortuito.
In the literature of this hemisphere (as in Meinong's subsistent world) ideal objects abound, summoned and dissolved in a moment, according to poetic needs.	.i ro da ganai prosa fi le xabju be le di'u plinyxadba gi prosa lo simsa be le jinzi munje ne fi'e la meinong bei lo ka se zasti le tarmi poi zasni lo ka gau lo te pemci co'a ja co'u zasti	En la literatura de este hemisferio (como en el mundo subsistente de Meinong) abundan los objetos ideales, convocados y disueltos en un momento, según las necesidades poéticas.
They are determined, sometimes, by mere simultaneity.	.i ka'u dunda lo ka se cmene lu'o lo simxu be lo ka cabna sa'u	Los determina, a veces, la mera simultaneidad.
There are objects composed of two terms, one visual and the other auditory: the color of the sunrise and the remote cry of a bird.	.i ka'u su'o da tarmi loi re de ku noi du lu'o lo se viska ce lo se tirna vu'o noi mu'a du lo skari be lo ka tolfarlu solri be'o ce lo sance be lo ka darno nu lo cipni cu cmoni	Hay objetos compuestos de dos términos, uno de carácter visual y otro auditivo: el color del naciente y el remoto grito de un pájaro.
There are of many terms: the sun and the water against the swimmer's chest, the vague tremulous pink that can be seen with closed eyes, the sensation of one who is carried away by a river and also by sleep.	.i su'o da tarmi loi so'i de .i mu'a tarmi lo solri joi loi djacu poi lamji lo cutne be lo limna .i ja tarmi lo na'e klani je slilu xunblabi poi ka'e se zgana fi lo ka se kanla lo ganlo .i ja tarmi lo se lifri be su'o da poi ke'a ri'a tu'a lo rirxe lu'u a lo nu ke'a co'a sipna kei ca'o co'u jundi	Los hay de muchos: el sol y el agua contra el pecho del nadador, el vago rosa trémulo que se ve con los ojos cerrados, la sensación de quien se deja llevar por un río y también por el sueño.
Those second-degree objects can be combined with others; the process, by certain abbreviations, is practically infinite.	.i ka'u le tai dacti noi se dzena fi lo ka efku fi li re ta'e simxu lo ka kansa .i pruce fo tu'a lo tordu krati be lo jufra gi'e cimni to'u	Esos objetos de segundo grado pueden combinarse con otros; el proceso, mediante ciertas abreviaturas, es prácticamente infinito.
There are famous poems composed of a single huge word.	.i za'u da miskempavyvlapemci	Hay poemas famosos compuestos de una sola enorme palabra.
This word integrates a poetic object created by the author.	.i le tai lujvo cu sinxa lo dacti poi ke'a se finti lo te pemci be ke'a	Esta palabra integra un objeto poético creado por el autor.
The fact that no one believes in the reality of nouns makes, paradoxically, their number endless.	.i le du'u no da pe bu'u ra krici tu'a lo'e fasnu poi fatri xanri cu se jalge lo nu le lujvo cu klani li ci'i	El hecho de que nadie crea en la realidad de los sustantivos hace, paradójicamente, que sea interminable su número.
The languages ​​of Tlön's northern hemisphere possess all the nouns of the Indo-European languages ​​and many others.	.i lo'e bangu be tu'a le berti plinyxadba be la tlon cu simsa lo'e xindo je ropno bangu lo ka se gerna tu'a lo'e po'o nai sumti valsi poi se smuni le'e se slabu be mi'o	Los idiomas del hemisferio boreal de Tlön poseen todos los nombres de las lenguas indoeuropeas y otros muchos más.
It is no exaggeration to say that the classical culture of Tlön comprises only one discipline: psychology.	.i ba'u cu'i le klasiko kulnu be la tlon cu se pagbu pa saske noi du le menske	No es exagerado afirmar que la cultura clásica de Tlön comprende una sola disciplina: la psicología.
The others are subordinate to it.	.i ri se vipsi le drata	Las otras están subordinadas a ella.
I have said that the men of that planet conceive the universe as a series of mental processes, which do not develop in space but successively in time.	.i ke'u lo'e se terdi be ra cu jijnu fi le munje fe lo ka porsi fi lo'i pruce be fo lo'i se pensi fe lo ka na sepli fi lo canlu gi'e balvi jo purci	He dicho que los hombres de ese planeta conciben el universo como una serie de procesos mentales, que no se desenvuelven en el espacio sino de modo sucesivo en el tiempo.
Spinoza attributes to his inexhaustible divinity the attributes of extension and thought; nobody would understand in Tlön the juxtaposition of the first (which is only typical of certain states) and the second - which is a perfect synonym of the cosmos -.	.i la spinoza pu xusra le du'u le vitno cevni pe le nei cu ckaji lo ka se canlu e lo ka pensi .i no prenu pe la tlon pu jimpe le du'u makau te frica lo ka se canlu noi nalkau ku'o lo ka pensi noi ka munje	Spinoza atribuye a su inagotable divinidad los atributos de la extensión y del pensamiento; nadie comprendería en Tlön la yuxtaposición del primero (que sólo es típico de ciertos estados) y del segundo -que es un sinónimo perfecto del cosmos-.
In other words, they do not conceive that the spatial endures in time.	.i va'i le prenu na sruma le du'u su'o se canlu cu renvi su'o da su'o de	Dicho sea con otras palabras: no conciben que lo espacial perdure en el tiempo.
The perception of a cloud of smoke on the horizon and then of the burning field and then of the half-extinguished cigarette that produced the blaze is considered an example of association of ideas.	.i lo ka ganse lo smoka be bu'u lo tankoi be'o joi lo foldi poi ca'o jelca joi loi sigja poi pu'o co'u jelca cu mupli lo ka te sidbo lo gunma	La percepción de una humareda en el horizonte y después del campo incendiado y después del cigarro a medio apagar que produjo la quemazón es considerada un ejemplo de asociación de ideas.
This monism or complete idealism invalidates all science.	.i le tai jetnu be lo du'u loi ro da pa mei a lo du'u ka'e djuno fi lo po'o xanri cu natfe lo du'u lo saske cu xamgu	Este monismo o idealismo total invalida la ciencia.
To explain (or judge) a fact is to link it to another; such linkage, in Tlön, is a later state of the subject, which cannot affect or illuminate the previous state.	.i fi'o se tcaci ra ro da poi fasnu zo'u lo ka ciksi gi'a pajni vau da cu ka facki lo du'u da ckini makau .i je lo nu tai facki cu balvi da gi'e na ka'e ku galfi gi'a bo ciksi vau da noi purci	Explicar (o juzgar) un hecho es unirlo a otro; esa vinculación, en Tlön, es un estado posterior del sujeto, que no puede afectar o iluminar el estado anterior.
Every mental state is irreducible: the mere fact of naming it - i.e., of classifying it - imports a falsification.	.i ro da poi nu pensi na ka'e zenaba lo ka tordu .i je ji'a lo nu te cmene da noi va'i nu pajni lo du'u da cmima lo te girzu be ma kau cu nu ciksi fo lo jitfa	Todo estado mental es irreductible: el mero hecho de nombrarlo -id est, de clasificarlo- importa un falseo.
From this it could be deduced that there are no sciences in Tlön - not even reasoning.	.i va'i da'i nibli lo nu no da saske bu'u la tlon e lo ji'a nu no de nu jinvi	De ello cabría deducir que no hay ciencias en Tlön -ni siquiera razonamientos.
The paradoxical truth is that they exist, in almost innumerable numbers.	.i ranxi fa lo nu lei saske cu su'o mei gi'e sa'e ci'i mei	La paradójica verdad es que existen, en casi innumerable número.
The fact that every philosophy is by definition a dialectical game, a Philosophie des Als Ob, has contributed to multiplying them.	.i le du'u ro saske be lo jetnu cu se smuni lo ka nunkei darlu gi'e va'i me la'o dotc.Philosophie des Als Ob.dotc. noi se fanva fu "lu saske be lo tarmi be lo xanri jetnu cu se jalge lo nu lei saske cu zenba lo ka xo kau mei	El hecho de que toda filosofía sea de antemano un juego dialéctico, una Philosophie des Als Ob, ha contribuido a multiplicarlas.
There is an abundance of incredible systems, but either nicely architectured or of sensational type.	.i so'i da cizra ciste gi'e ku'i ga ciste lo zabna gi te ke mutce cinmo	Abundan los sistemas increíbles, pero de arquitectura agradable o de tipo sensacional.
Tlön's metaphysicians do not seek truth or even plausibility: they seek wonder.	.i le tadni be lo jicmu be bu'u la tlon sisku lo ka jetnu gi'a ji'a ue lakne na e lo ka se manci	Los metafísicos de Tlön no buscan la verdad ni siquiera la verosimilitud: buscan el asombro.
They judge that metaphysics is a branch of fantastic literature.	.i le nei cu pajni le du'u le'i saske be lo jetnu cu klesi le'i se ranmi	Juzgan que la metafísica es una rama de la literatura fantástica.
They know that a system is nothing other than the subordination of all aspects of the universe to any one of them.	.i le nei cu djuno le du'u lo ka ciste cu ka ro da poi tcila le munje zo'u da vipsi fi ce'u	Saben que un sistema no es otra cosa que la subordinación de todos los aspectos del universo a uno cualquiera de ellos.
Even the phrase "all aspects" is rejectable, because it supposes the impossible addition of the present moment and the past ones.	.i ji'a "lu ro tcila li'u" mabla ni'i lo nu ri jai nibli lo nu jmina su'o da zo'u lo jai cabna be da lo jai purci be da kei noi na cumki	Hasta la frase "todos los aspectos" es rechazable, porque supone la imposible adición del instante presente y de los pretéritos.
The plural "the past moments" is not licit either, because it supposes another impossible operation...	.i "lu le za'u purci li'u" noi sinxa lo za'u mei cu si'a na jai se curmi .i ni'i bo le nei cu jai nibli lo pruce poi na cumki	Tampoco es lícito el plural "los pretéritos", porque supone otra operación imposible...
One of the schools of Tlön goes so far as to deny time: it reasons that the present is indefinite, that the future has no reality except as a present hope, that the past has no reality except as a present memory (2).	.i pa da ckule la tlon lo du'u no da temci .i le te go'i cu se krinu lo du'u ro da poi cabna zo'u lo ka balvi be da cu ka xanri gi'e se pacna ca da .i go'i lo du'u ro da poi cabna zo'u lo ka purci be da cu ka xanri gi'e se morji ca da (to'i re mai .i fi la 159 moi papri be la'e "lu nu lanli lo'e menli lu'u poi cukta fi la rasel gi'e se finti de'i li nanca bu 1921 cu tcidu lo du'u la rasel cu smadi lo du'u le plini cu se zbasu pu la'u le mentu be li so'u .i go'i fa ri joi lei remna noi lu'a ke'a cu za'e morji lo xanri purci ianaidai toi)	Una de las escuelas de Tlön llega a negar el tiempo: razona que el presente es indefinido, que el futuro no tiene realidad sino como esperanza presente, que el pasado no tiene realidad sino como recuerdo presente(2).
Another school declares that all time has already passed and that our life is just the twilight memory or reflection, and undoubtedly falsified and mutilated, of an irrecoverable process.	.i pa da drata ckule fi lo du'u ro de ba'o fasnu e lo du'u le se renvi be ma'a cu te vreji ga lo na'e satci se morji gi fi lo minra noi ju'o cai mo'u cenba gi'e spofu vau ri'a lo pruce be fo lo na ka'e fatne	Otra escuela declara que ha transcurrido ya todo el tiempo y que nuestra vida es apenas el recuerdo o reflejo crepuscular, y sin duda falseado y mutilado, de un proceso irrecuperable.
Another, that the history of the universe - and in it our lives and the most tenuous detail of our lives - is the writing produced by a subordinate god in order to communicate with a demon.	.i pa da drata cu go'i fi lo du'u le citri be le munje be'oi noi pagbu ke'a fa le se renvi be ma'a be'o e le tcecmalu tcila be le se renvi be ma'a cu se ciska lisri fi le pa vipsi cevni gi'e se finti fi lo nu ri tavla le pa mabla crida	Otra, que la historia del universo -y en ellas nuestras vidas y el más tenue detalle de nuestras vidas- es la escritura que produce un dios subalterno para entenderse con un demonio.
Another, that the universe is comparable to those cryptographies in which not all symbols are valid and that only what happens every three hundred nights is true.	.i pa da drata cu go'i fi lo du'u le munje cu simsa lo'e mifra be fi lo ka naku ro da ganai sinxa be ce'u gi jai sarcu lo nu djuno fi ce'u .i go'i lo du'u no drata be lo efku be nu'i lo nicte li su'o lo ka bavlamdei cu fatci	Otra, que el universo es comparable a esas criptografías en las que no valen todos los símbolos y que sólo es verdad lo que sucede cada trescientas noches.
Another, that while we sleep here, we are awake elsewhere and that thus each man is two men.	.i pa da drata cu go'i fi lo du'u ro da poi me ma'a zo'u ca gi da bu'u de sipna gi da bu'u lo drata cu cikna e lo du'u va'i ro prenu cu gunma re prenu	Otra, que mientras dormimos aquí, estamos despiertos en otro lado y que así cada hombre es dos hombres.
Among the doctrines of Tlön, none has deserved as much scandal as materialism.	.i traji lo ka xo kau roi darlu fi ce'u kei lo'i se krici pe la tlon fa le si'o lo ka marji cu ka ka'e zasti gi'e na se xanri	Entre las doctrinas de Tlön, ninguna ha merecido tanto escándalo como el materialismo.
Some thinkers have formulated it, with less clarity than fervor, like someone who advances a paradox.	.i so'o na'o pensi cu ciksi le di'u sidbo lo na'e se jimpe e ku'i lo te cinmo tai lo nu da stidi tu'a lo natfe	Algunos pensadores lo han formulado, con menos claridad que fervor, como quien adelanta una paradoja.
To facilitate the understanding of this inconceivable thesis, a heresiarch of the eleventh century (3) devised the sophism of the nine copper coins, whose scandalous renown is equivalent in Tlön to that of the Eleatic aporias.	.i tezu'e lo nu lo ka jimpe fi le se xusra cu frili ce'e fa le finti be le zekri lijda be'o ne le papamoi be le'i sorna'acedra cu finti le cizra se darlu poi lisri le so sicni zi'e noi simsa fi le ka mabla misno kei fe le velian zei ranji pe le munje be mi'o	Para facilitar el entendimiento de esa tesis inconcebible, un heresiarca del undécimo siglo(3) ideó el sofisma de las nueve monedas de cobre, cuyo renombre escandaloso equivale en Tlön al de las aporías eleáticas.
There are many versions of this "specious reasoning", which vary the number of coins and the number of finds; here is the most common:	.i le'i so'i da tarmi le ve skicu be ra voi cizra nu pensi cu vrici lo ka lisri le xo kau sicni e la xo kau roi penmi .i la'e di'e fadni	De ese "razonamiento especioso" hay muchas versiones, que varían el número de monedas y el número de hallazgos; he aquí la más común:
On Tuesday, X crosses a deserted road and loses nine copper coins.	.i ca le reldei xy klama fo lu'i le kunti dargu gi'e snuti te farlu le so tunka sicni gi'e cirko lo ka ralte ri	El martes, X atraviesa un camino desierto y pierde nueve monedas de cobre.
On Thursday, Y finds four coins along the way, somewhat rusted from Wednesday's rain.	.i ca le vondei ybu penmi fi le dargu fe le vo sicni noi su'o va'e lo ka fusra le carvi be ca le cibdei	El jueves, Y encuentra en el camino cuatro monedas, algo herrumbradas por la lluvia del miércoles.
On Friday, Z discovers three coins on the road.	.i ca le mumdei zy penmi le ci sicni le dargu	El viernes, Z descubre tres monedas en el camino.
On Friday morning, X finds two coins in the corridor of his house.	.i ca le cerni be le mumdei xy penmi le re sicni le klaji be le nenri be le zdani be xy	El viernes de mañana, X encuentra dos monedas en el corredor de su casa.
The heresiarch wanted to deduce from that story the reality - i. e., the continuity - of the nine recovered coins. It is absurd (he claimed) to imagine that four of the coins did not exist between Tuesday and Thursday, three between Tuesday and Friday afternoon, two between Tuesday and Friday morning.	.i le finti be le zekri lijda pu audji lo ka didni fo tu'a le lisri fe le nu fatci noi ba'e du le nu le so sicni cu zvati cu ranji .i da'i fenki fa lo ka jinvi la'e di'e .i le vo me le sicni na ku co'a le reldei ce'e co'u le vondei cu zasti .i je le ci me le sicni na ku co'a le reldei ce'e co'u le lecydo'i be le mumdei cu zasti .i je le re me le sicni na ku co'a le reldei ce'e co'u le cerni be le mumdei cu zasti	El heresiarca quería deducir de esa historia la realidad -id est la continuidad- de las nueve monedas recuperadas. Es absurdo (afirmaba) imaginar que cuatro de las monedas no han existido entre el martes y el jueves, tres entre e1 martes y la tarde del viernes, dos entre el martes y la madrugada del viernes.
It is logical to think that they have existed - even in some secret way, of comprehension forbidden to men - in all the moments of those three periods.	.i racli fa lo ka jinvi le du'u zasti ca le ro mokca pe la'e di'u tai ju'o cu'i lo nu sivni gi'e na jai se curmi fai lo nu lo'e prenu cu jimpe	Es lógico pensar que han existido -siquiera de algún modo secreto, de comprensión vedada a los hombres- en todos los momentos de esos tres plazos.
The language of Tlön resisted formulating that paradox; most did not understand it.	.i le se gerna pe la tlon cu fanta lo nu skicu le ranxi .i so'i prenu na jimpe	El lenguaje de Tlön se resistía a formular esa paradoja; los más no la entendieron.
The defenders of common sense limited themselves, at first, to denying the veracity of the anecdote.	.i lei darlu be le racli be tu'a le kulnu ca le pa moi citsi cu xusra no drata be le du'u lisri lo jitfa	Los defensores del sentido común se limitaron, al principio, a negar la veracidad de la anécdota.
They repeated that it was a verbal fallacy, based on the reckless use of two neologisms, not authorized by use and alien to all severe thought: the verbs "to find" and "to lose," which involve a question of principle, because they presuppose the identity of the first nine coins and the last ones.	.i lei darlu cu so'i roi xusra le du'u sa'u nabmi fi lo nu pilno le re cnino valsi noi le catni na curmi lo nu pilno ke'a kei gi'e fange ro ca'a junri pensi gi'e me ke'a zo penmi e "lu cirko lo ka ralte li'u" gi'e jai nibli le nu le so sicni ku poi pa moi cu mintu le so sicni ku poi ro moi	Repitieron que era una falacia verbal, basada en el empleo temerario de dos voces neológicas, no autorizadas por el uso y ajenas a todo pensamiento severo: los verbos encontrar y perder, que comportan una petición de principio, porque presuponen la identidad de las nueve primeras monedas y de las últimas.
They recalled that every noun (man, coin, Thursday, Wednesday, rain) has only a metaphorical value.	.i lei darlu cu za'u re'u notsku le su'u ro sumti valsi cu se smuni lo po'o metfo	Recordaron que todo sustantivo (hombre, moneda, jueves, miércoles, lluvia) sólo tiene un valor metafórico.
They denounced the perfidious circumstance "somewhat rusted from Wednesday's rain," which presupposes what they are trying to demonstrate: the persistence of the four currencies, between Thursday and Tuesday.	.i lei darlu cu to'e zanru le cizra vanbi ku goi la'e "lu su'o va'e lo ka fusra le carvi be ca le cibdei li'u" zi'e noi sinxa le se xusra noi du'u le vo sicni ru'i zvati ca le temci be fi le vondei bei fe le reldei	Denunciaron la pérfida circunstancia algo herrumbradas por la lluvia del miércoles, que presupone lo que se trata de demostrar: la persistencia de las cuatro monedas, entre el jueves y el martes.
They explained that one thing is equality and another is identity and they formulated a kind of reductio ad absurdum, that is, the hypothetical case of nine men who suffer severe pain on nine successive nights.	.i lei darlu cu ciksi fi lo nu le ka dunli na du lo ka mintu .i je lei go'i cu finti lo nibli be lo cizra be'o poi xanri nu su'o da ca le so nicte ku poi lu'i ke'a te porsi lo ka bavlamdei zo'u le so prenu cu cinmo da lo nu le no'a cu cortu	Explicaron que una cosa es igualdad y otra identidad y formularon una especie de reductio ad absurdum, o sea el caso hipotético de nueve hombres que en nueve sucesivas noches padecen un vivo dolor.
